참조스트림  page_frame[0]   page_frame[1]   page_frame[2] 	페이지 폴트
    30	          1	         30	          5		PAGE FAULT
    23	          1	         23	          5		PAGE FAULT
    6	          1	          6	          5		PAGE FAULT
    5	          1	          6	          5		          
    1	          1	          6	          5		          
    6	          1	          6	          5		          
    30	          1	         30	          5		PAGE FAULT
    15	         15	         30	          5		PAGE FAULT
    17	         15	         17	          5		PAGE FAULT
    10	         15	         10	          5		PAGE FAULT
    3	         15	          3	          5		PAGE FAULT
    13	         15	         13	          5		PAGE FAULT
    15	         15	         13	          5		          
    8	          8	         13	          5		PAGE FAULT
    28	         28	         13	          5		PAGE FAULT
    16	         16	         13	          5		PAGE FAULT
    5	         16	         13	          5		          
    9	         16	          9	          5		PAGE FAULT
    12	         16	          9	         12		PAGE FAULT
    3	          3	          9	         12		PAGE FAULT
    19	         19	          9	         12		PAGE FAULT
    30	         30	          9	         12		PAGE FAULT
    4	          4	          9	         12		PAGE FAULT
    17	         17	          9	         12		PAGE FAULT
    9	         17	          9	         12		          
    11	         11	          9	         12		PAGE FAULT
    23	         11	         23	         12		PAGE FAULT
    12	         11	         23	         12		          
    11	         11	         23	         12		          
    16	         11	         16	         12		PAGE FAULT
    2	         11	          2	         12		PAGE FAULT
    2	         11	          2	         12		          
    1	         11	          1	         12		PAGE FAULT
    29	         11	          1	         29		PAGE FAULT
    6	         11	          1	          6		PAGE FAULT
    1	         11	          1	          6		          
    27	         27	          1	          6		PAGE FAULT
    5	          5	          1	          6		PAGE FAULT
    7	          7	          1	          6		PAGE FAULT
    13	         13	          1	          6		PAGE FAULT
    6	         13	          1	          6		          
    9	         13	          1	          9		PAGE FAULT
    17	         13	         17	          9		PAGE FAULT
    13	         13	         17	          9		          
    9	         13	         17	          9		          
    15	         13	         15	          9		PAGE FAULT
    28	         13	         15	         28		PAGE FAULT
    13	         13	         15	         28		          
    15	         13	         15	         28		          
    1	         13	         15	          1		PAGE FAULT
    7	          7	         15	          1		PAGE FAULT
    3	          3	         15	          1		PAGE FAULT
    30	         30	         15	          1		PAGE FAULT
    10	         30	         15	         10		PAGE FAULT
    11	         30	         15	         11		PAGE FAULT
    9	          9	         15	         11		PAGE FAULT
    12	         12	         15	         11		PAGE FAULT
    4	         12	          4	         11		PAGE FAULT
    12	         12	          4	         11		          
    22	         22	          4	         11		PAGE FAULT
    11	         22	          4	         11		          
    14	         14	          4	         11		PAGE FAULT
    15	         15	          4	         11		PAGE FAULT
    11	         15	          4	         11		          
    4	         15	          4	         11		          
    20	         15	          4	         20		PAGE FAULT
    12	         15	          4	         12		PAGE FAULT
    30	         15	          4	         30		PAGE FAULT
    17	         15	          4	         17		PAGE FAULT
    10	         15	          4	         10		PAGE FAULT
    4	         15	          4	         10		          
    14	         15	         14	         10		PAGE FAULT
    19	         15	         19	         10		PAGE FAULT
    21	         15	         19	         21		PAGE FAULT
    26	         15	         19	         26		PAGE FAULT
    27	         15	         19	         27		PAGE FAULT
    27	         15	         19	         27		          
    15	         15	         19	         27		          
    1	         15	         19	          1		PAGE FAULT
    11	         15	         19	         11		PAGE FAULT
    15	         15	         19	         11		          
    7	         15	         19	          7		PAGE FAULT
    13	         13	         19	          7		PAGE FAULT
    7	         13	         19	          7		          
    8	          8	         19	          7		PAGE FAULT
    16	         16	         19	          7		PAGE FAULT
    7	         16	         19	          7		          
    20	         20	         19	          7		PAGE FAULT
    19	         20	         19	          7		          
    18	         20	         18	          7		PAGE FAULT
    3	          3	         18	          7		PAGE FAULT
    29	         29	         18	          7		PAGE FAULT
    23	         23	         18	          7		PAGE FAULT
    10	         10	         18	          7		PAGE FAULT
    10	         10	         18	          7		          
    27	         27	         18	          7		PAGE FAULT
    21	         21	         18	          7		PAGE FAULT
    13	         13	         18	          7		PAGE FAULT
    18	         13	         18	          7		          
    7	         13	         18	          7		          
    22	         13	         18	         22		PAGE FAULT
    14	         13	         14	         22		PAGE FAULT
    13	         13	         14	         22		          
    2	         13	          2	         22		PAGE FAULT
    26	         26	          2	         22		PAGE FAULT
    30	         30	          2	         22		PAGE FAULT
    20	         20	          2	         22		PAGE FAULT
    22	         20	          2	         22		          
    15	         20	          2	         15		PAGE FAULT
    20	         20	          2	         15		          
    2	         20	          2	         15		          
    21	         21	          2	         15		PAGE FAULT
    18	         21	          2	         18		PAGE FAULT
    6	         21	          6	         18		PAGE FAULT
    19	         21	         19	         18		PAGE FAULT
    18	         21	         19	         18		          
    21	         21	         19	         18		          
    25	         21	         19	         25		PAGE FAULT
    29	         21	         29	         25		PAGE FAULT
    1	         21	          1	         25		PAGE FAULT
    5	         21	          1	          5		PAGE FAULT
    23	         21	          1	         23		PAGE FAULT
    30	         30	          1	         23		PAGE FAULT
    27	         27	          1	         23		PAGE FAULT
    2	          2	          1	         23		PAGE FAULT
    1	          2	          1	         23		          
    15	         15	          1	         23		PAGE FAULT
    23	         15	          1	         23		          
    13	         15	          1	         13		PAGE FAULT
    3	         15	          3	         13		PAGE FAULT
    21	         21	          3	         13		PAGE FAULT
    26	         21	          3	         26		PAGE FAULT
    16	         21	          3	         16		PAGE FAULT
    3	         21	          3	         16		          
    20	         21	          3	         20		PAGE FAULT
    11	         21	          3	         11		PAGE FAULT
    3	         21	          3	         11		          
    9	         21	          9	         11		PAGE FAULT
    24	         21	          9	         24		PAGE FAULT
    9	         21	          9	         24		          
    21	         21	          9	         24		          
    25	         21	          9	         25		PAGE FAULT
    21	         21	          9	         25		          
    30	         30	          9	         25		PAGE FAULT
    22	         30	          9	         22		PAGE FAULT
